Star Number,RA,Dec
1,18.383073,-51.732952
2,330.937395,-57.231477999999996
3,14.237402,-56.990978999999996
4,58.13261,-49.18317
5,50.330783999999994,-60.194517
6,34.492827999999996,1.19037
7,348.235593,-61.841136
8,60.698915,-51.344981
9,352.545668,-46.862764999999996
10,326.300406,-57.410393
11,60.719988,-29.708958
12,344.82671,-51.163384
13,84.830287,-52.795995
14,46.685658,-62.953132
15,5.385263999999999,1.095791
16,313.822398,-61.645300000000006
17,27.71804,-54.605087999999995
18,40.095583999999995,-58.096807
19,344.570042,-64.010639
20,75.058701,-56.78237
21,86.647313,-56.358281999999996
22,39.059315999999995,-51.418262999999996
23,19.300379,-3.437454
24,332.440192,-0.31679399999999996
25,344.794526,-0.10244199999999999
26,39.983495,0.807148
27,25.653933,-61.379466
28,7.805304,-52.831008
29,47.594839,-60.293814
30,15.964141999999999,-58.143485
31,330.565334,-62.600593999999994
32,77.968819,-48.387617999999996
33,349.276561,-46.618775
34,306.698006,-58.347609
35,330.482979,-52.959305
36,20.206197,-2.05421
37,22.562839,-48.009066
38,21.174471999999998,-48.112387999999996
39,330.500974,-0.814402
40,342.766818,-40.090404
41,6.888326999999999,-46.865832
42,342.518887,-44.148393999999996
43,16.417094,-57.692699
44,72.781762,-48.741889
45,357.918013,-48.430338
46,28.230915999999997,-56.176452
47,81.310195,-54.462959
48,3.544745,-45.475069
49,61.547763999999994,-47.027015999999996
50,46.034344999999995,-55.330493999999995
51,33.659020999999996,-62.602982999999995
52,326.003697,-41.370712
53,322.80817,-45.168597
54,325.375626,-45.935828
55,358.16986199999997,-47.822342
56,343.067176,-58.830332
57,39.382345,-1.6940229999999998
58,44.193419999999996,-10.070634
59,41.047326,-49.671011
60,332.166285,-50.113501
61,9.020603999999999,-51.792759
62,28.96294,-0.7495
63,39.190225,-8.771116
64,315.812017,-54.765012999999996
65,317.554777,0.45673199999999997
66,44.748363999999995,-11.023189
67,355.956279,0.350475
68,334.637817,-55.55882
69,326.961374,-46.420217
70,33.798753,-4.448346
71,39.268358,-54.458389
72,351.640339,-55.744634
73,55.277411,-59.506837
74,0.972672,-37.970656
75,34.792203,-9.855597
76,0.015363,-2.186998
77,317.359928,-52.65202
78,318.112158,-0.718151
79,311.770074,-42.80654
80,83.790734,-52.044073
81,23.604022999999998,0.9662609999999999
82,80.200969,-55.886286
83,65.926019,-50.385394999999995
84,326.987405,0.7274419999999999
85,39.127258,-50.329074
86,79.8476,-52.285171999999996
87,19.474176,-54.840984999999996
88,18.691754,-5.249224
89,313.564842,-47.618361
90,37.875094,-3.373971
91,33.839957,-47.140685999999995
92,329.533394,-41.553796999999996
93,3.7975459999999996,-2.696517
94,17.154927999999998,-43.963158
95,71.081689,-51.928951999999995
96,70.466668,-51.986031999999994
97,22.911673,-40.674192
98,57.351769,-28.603068
99,332.29578,-0.188909
100,317.670965,-62.830951999999996
101,31.090754999999998,-2.7391229999999998
102,334.235766,-2.286374
103,327.931288,-1.6798309999999999
104,2.9274739999999997,-0.280902
105,13.205447,-3.533826
106,347.518934,-60.985749
107,321.504058,-42.633534
108,5.598317,-0.9470139999999999
109,1.597508,-51.060987
110,345.999521,-52.703314999999996
111,10.444816999999999,-47.424703
112,356.376121,-45.872895
113,329.010001,-42.813869
114,313.778013,-54.812217
115,59.850207,-45.321967
116,21.425546999999998,-45.413323999999996
117,349.71688,-54.198373999999994
118,316.344206,-44.007978
119,18.90502,-5.742906
120,345.63901599999997,0.846032
121,310.26409,-52.902024
122,51.028883,-56.498875
123,327.147048,-53.93017
124,38.949867999999995,-63.973504999999996
125,75.08627299999999,-50.71908
126,11.267947999999999,-61.714838
127,23.190065,-46.269954
128,9.195428,-3.70872
129,9.287849,-60.390532
130,74.812483,-54.570190999999994
131,350.11262899999997,-56.777842
132,45.186329,-46.676521
133,325.033943,-46.438215
134,357.150056,-46.395643
135,350.337348,-1.958934
136,11.232804,0.251326
137,13.647209,-52.170181
138,329.418424,-40.988946
139,42.70095,-58.010166999999996
140,35.520911999999996,-61.988313
141,57.182569,-51.33034
142,341.954829,-42.800128
143,342.898991,-52.463017
144,33.675073,-1.30392
145,20.99479,-62.322748999999995
146,342.589683,-60.780592
147,18.46774,-56.898039999999995
148,13.712378999999999,-54.886148999999996
149,12.084655999999999,-56.824329999999996
150,321.76278,-42.715821999999996
151,38.232029,-3.6906499999999998
152,77.06287999999999,-49.794579999999996
153,44.135602999999996,0.6420399999999999
154,35.531528,-11.147775
155,332.498781,-39.659980999999995
156,33.995474,-0.12024399999999999
157,44.714904999999995,-62.784005
158,28.023400000000002,-2.084686
159,30.954598999999998,-5.223737
160,329.497781,-41.285275999999996
161,317.106384,-60.488319999999995
162,331.157094,-1.9589219999999998
163,342.368636,-58.177687999999996
164,78.673903,-57.213034
165,23.056383999999998,-61.058473
166,6.743969,-3.852214
167,351.18821,-2.1628879999999997
168,4.015229,-56.907171999999996
169,5.984513,-55.580759
170,324.174802,1.0586799999999998
171,6.328272999999999,-2.057484
172,25.080264999999997,-51.9324
173,324.889402,-45.354977999999996
174,334.047424,-2.412175
175,52.93186,-52.368666
176,319.397017,-42.663653
177,47.729386,-45.403507
178,345.050159,-63.345468999999994
179,11.58605,-64.099693
180,334.32525499999997,-0.609387
181,81.961062,-46.455434
182,79.547378,-46.788695
183,358.197945,-47.245366
184,10.167322,-61.144693
185,68.66392499999999,-47.416824999999996
186,33.879517,-5.028591
187,40.741613,-52.303756
188,42.078297,-49.124499
